Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
xz 5.8.1 -9,4.65,204.17,8305920,961012,11.57,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zlib 1.3.1 -1,164.60,609.70,8305920,1518891,18.29,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zlib 1.3.1 -3,117.59,673.11,8305920,1491174,17.95,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zlib 1.3.1 -5,70.42,460.22,8305920,1443978,17.38,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zlib 1.3.1 -7,25.86,463.95,8305920,1436254,17.29,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zlib 1.3.1 -9,3.21,455.22,8305920,1435055,17.28,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zstd 1.5.7 -1,581.39,1376.37,8305920,1347064,16.22,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zstd 1.5.7 -3,380.19,1307.50,8305920,1408925,16.96,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zstd 1.5.7 -5,246.98,1357.15,8305920,1380569,16.62,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zstd 1.5.7 -7,110.02,1357.16,8305920,1348378,16.23,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zstd 1.5.7 -9,80.27,1340.69,8305920,1259297,15.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zstd 1.5.7 -11,39.38,1406.95,8305920,1275349,15.35,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zstd 1.5.7 -13,22.81,1575.31,8305920,1270664,15.30,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zstd 1.5.7 -15,12.61,2251.54,8305920,1240071,14.93,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zstd 1.5.7 -16,9.61,1672.45,8305920,1270369,15.29,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zstd 1.5.7 -19,5.81,1420.00,8305920,1129351,13.60,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
xz 5.8.1 -1,37.69,202.23,8305920,1116072,13.44,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
xz 5.8.1 -3,19.23,210.53,8305920,1117584,13.46,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
xz 5.8.1 -5,4.94,228.82,8305920,964748,11.62,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
xz 5.8.1 -7,4.73,227.65,8305920,963312,11.60,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
xz 5.8.1 -9,4.67,205.36,8305920,963312,11.60,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zlib 1.3.1 -1,164.64,615.73,8305920,1516029,18.25,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zlib 1.3.1 -3,118.37,678.24,8305920,1488175,17.92,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zlib 1.3.1 -5,70.94,456.77,8305920,1440691,17.35,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zlib 1.3.1 -7,26.07,459.18,8305920,1432636,17.25,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zlib 1.3.1 -9,3.20,460.25,8305920,1431134,17.23,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/7
zstd 1.5.7 -1,609.79,1383.50,8305920,1208988,14.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
zstd 1.5.7 -3,419.95,1344.73,8305920,1285042,15.47,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
zstd 1.5.7 -5,256.12,1381.73,8305920,1262345,15.20,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
zstd 1.5.7 -7,111.82,1399.19,8305920,1221084,14.70,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
zstd 1.5.7 -9,82.89,1415.73,8305920,1140406,13.73,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
zstd 1.5.7 -11,39.94,1463.74,8305920,1159077,13.95,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
zstd 1.5.7 -13,24.47,1789.49,8305920,1153787,13.89,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
zstd 1.5.7 -15,13.87,2479.97,8305920,1111351,13.38,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
zstd 1.5.7 -16,9.72,2069.35,8305920,1154614,13.90,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
zstd 1.5.7 -19,5.97,1558.35,8305920,985176,11.86,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
xz 5.8.1 -1,40.05,217.26,8305920,1007324,12.13,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
xz 5.8.1 -3,19.79,225.83,8305920,1008924,12.15,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
xz 5.8.1 -5,5.06,257.31,8305920,862564,10.38,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
xz 5.8.1 -7,4.77,256.00,8305920,859688,10.35,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
xz 5.8.1 -9,4.70,225.87,8305920,859688,10.35,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
zlib 1.3.1 -1,177.38,662.65,8305920,1426471,17.17,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
zlib 1.3.1 -3,123.56,700.63,8305920,1397224,16.82,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
zlib 1.3.1 -5,75.34,460.54,8305920,1342374,16.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/8
